001 010 000 001 000 011 010 100 000 000 000 000 000 000 000 000 000 000 000 000
///A BBBB CCCC DDDD EEEE FFFF GGGG HHHH IIII JJJJ KKKK LLLL MMMM NNNN OOOO PPPP QQQQ RRRR SSSS TTTT
0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0001 0011 0001 0001 0001 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 0000 0001 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0001 0000 0000 0000 0001 0000 0000 0000 0000 0001 0001 0001 0001 0001 0001
0000 0000 0000 0000 0000 0001 0001 0001 0001 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0001 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0001 0001 0001 0001
0000 0000 0000 0000 0000 0011 0000 0000 0000 0001 0000 0000 0000 0001 0001 0001 0001 0000 0000 0000
0001 0001 0001 0001 0001 0001 0000 0000 0000 0001 0001 0001 0001 0001 0000 0000 0000 0000 0000 0000
0001 0000 0000 0000 0000 0001 0001 0001 0000 0000 0000 0000 0000 0001 0000 0011 0001 0001 0011 0001
0001 0000 0000 0000 0000 0000 0000 0011 0000 0000 0000 0000 0000 0001 0000 0000 0000 0001 0000 0000
0110 0000 0000 0000 0000 0001 0001 0001 0001 0001 0001 0001 0000 0001 0001 0001 0001 0001 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
///A BBBB CCCC DDDD EEEE FFFF GGGG HHHH IIII JJJJ KKKK LLLL MMMM NNNN OOOO PPPP QQQQ RRRR SSSS TTTT
